	faith_pd
10317.000072122.30606	8.77937
10317.000066846.31503	17.32306
10317.000010862.25853	10.708720000000001
10317.000036108.3099	12.381370000000002
10317.000079456.41931	8.10353
10317.000001046.2948	13.36985
10317.000028458.25862	4.35633
10317.000040402.3516	12.09786
10317.000009398.2909	17.77832
10317.000046976.4033	16.73041
10317.000052380.7852	14.600539999999999
10317.000099277.54638	15.79414
10317.000070664.50470	14.715499999999999
10317.000011405.26531	6.412550000000001
10317.000038167.32981	21.771449999999998
10317.000020692.2988	15.41202
10317.000069846.31503	21.368419999999997
10317.000012030.2911	11.163230000000002
10317.000011959.2911	11.98387
10317.000063510.31503	13.61821
10317.000003704.2932	12.197569999999999
10317.000028713.25853	13.896640000000001
10317.000073607.50470	10.88694
10317.000030090.2982	22.86818
10317.000022091.26481	10.61476
10317.000050313.26481	15.0296
